# Node, all count, hit count, without preloading, with preloading, Hit ratio, Improved loading time
1, 2, 0, 1138, 1138, 0, 0
2, 3, 0, 8916, 8916, 0, 0
3, 4, 0, 11893, 11893, 0, 0
4, 5, 0, 12929, 12929, 0, 0
5, 6, 0, 12983, 12983, 0, 0
6, 7, 0, 13192, 13192, 0, 0
7, 8, 0, 13242, 13242, 0, 0
8, 9, 0, 14729, 14729, 0, 0
9, 10, 0, 18214, 18214, 0, 0
10, 11, 0, 19812, 19812, 0, 0
11, 12, 0, 19881, 19881, 0, 0
12, 13, 0, 22755, 22755, 0, 0
13, 14, 0, 25629, 25629, 0, 0
14, 15, 0, 28180, 28180, 0, 0
15, 16, 0, 30088, 30088, 0, 0
16, 17, 0, 33205, 33205, 0, 0
17, 18, 0, 38429, 38429, 0, 0
18, 19, 0, 43653, 43653, 0, 0
19, 20, 0, 48877, 48877, 0, 0
19, 21, 0, 58701, 58701, 0, 0
19, 22, 1, 68525, 58761, 0.0454545, 0.142488
19, 23, 2, 75822, 58821, 0.0869565, 0.224223
20, 24, 2, 78843, 61842, 0.0833333, 0.215631
20, 25, 2, 80999, 63998, 0.08, 0.209891
20, 26, 3, 84048, 64058, 0.115385, 0.23784
21, 27, 3, 86240, 66250, 0.111111, 0.231795
22, 28, 3, 87247, 67257, 0.107143, 0.22912
23, 29, 3, 94338, 74348, 0.103448, 0.211898
24, 30, 3, 95682, 75692, 0.1, 0.208921
25, 31, 3, 96968, 76978, 0.0967742, 0.20615
26, 32, 3, 99389, 79399, 0.09375, 0.201129
27, 33, 3, 101064, 81074, 0.0909091, 0.197795
28, 34, 3, 103862, 83872, 0.0882353, 0.192467
29, 35, 3, 106383, 86393, 0.0857143, 0.187906
30, 36, 3, 108637, 88647, 0.0833333, 0.184007
31, 37, 3, 109604, 89614, 0.0810811, 0.182384
32, 38, 3, 109635, 89645, 0.0789474, 0.182332
33, 39, 3, 109646, 89656, 0.0769231, 0.182314
34, 40, 3, 109659, 89669, 0.075, 0.182292
35, 41, 3, 109736, 89746, 0.0731707, 0.182164
35, 42, 3, 109798, 89808, 0.0714286, 0.182062
36, 43, 3, 112127, 92137, 0.0697674, 0.17828
37, 44, 3, 112429, 92439, 0.0681818, 0.177801
38, 45, 3, 112726, 92736, 0.0666667, 0.177333
39, 46, 3, 113021, 93031, 0.0652174, 0.17687
40, 47, 3, 113316, 93326, 0.0638298, 0.176409
41, 48, 3, 120465, 100475, 0.0625, 0.16594
42, 49, 3, 123244, 103254, 0.0612245, 0.162199
43, 50, 3, 129182, 109192, 0.06, 0.154743
43, 51, 3, 130954, 110964, 0.0588235, 0.152649
44, 52, 3, 133309, 113319, 0.0576923, 0.149952
45, 53, 3, 135743, 115753, 0.0566038, 0.147264
45, 54, 3, 138155, 118165, 0.0555556, 0.144693
46, 55, 3, 142944, 122954, 0.0545455, 0.139845
47, 56, 3, 144190, 124200, 0.0535714, 0.138637
48, 57, 3, 145369, 125379, 0.0526316, 0.137512
49, 58, 3, 146668, 126678, 0.0517241, 0.136294
50, 59, 3, 150981, 130991, 0.0508475, 0.132401
51, 60, 3, 155095, 135105, 0.05, 0.128889
52, 61, 3, 156214, 136224, 0.0491803, 0.127965
53, 62, 3, 156647, 136657, 0.0483871, 0.127612
53, 63, 3, 156858, 136868, 0.047619, 0.12744
53, 64, 4, 157092, 136928, 0.0625, 0.128358
54, 65, 4, 157543, 137379, 0.0615385, 0.12799
55, 66, 4, 160950, 140786, 0.0606061, 0.125281
56, 67, 4, 166118, 145954, 0.0597015, 0.121384
57, 68, 4, 170736, 150572, 0.0588235, 0.1181
58, 69, 4, 171537, 151373, 0.057971, 0.117549
59, 70, 4, 173528, 153364, 0.0571429, 0.1162
59, 71, 4, 174088, 153924, 0.056338, 0.115826
60, 72, 4, 175750, 155586, 0.0555556, 0.114731
61, 73, 4, 178863, 158699, 0.0547945, 0.112734
62, 74, 4, 181976, 161812, 0.0540541, 0.110806
63, 75, 4, 182636, 162472, 0.0533333, 0.110405
64, 76, 4, 183030, 162866, 0.0526316, 0.110168
65, 77, 4, 184854, 164690, 0.0519481, 0.109081
66, 78, 4, 185601, 165437, 0.0512821, 0.108642
67, 79, 4, 187330, 167166, 0.0506329, 0.107639
67, 80, 4, 188001, 167837, 0.05, 0.107255
68, 81, 4, 188274, 168110, 0.0493827, 0.107099
68, 82, 4, 189086, 168922, 0.0487805, 0.106639
69, 83, 4, 192807, 172643, 0.0481928, 0.104581
69, 84, 4, 193458, 173294, 0.047619, 0.104229
70, 85, 4, 194667, 174503, 0.0470588, 0.103582
71, 86, 4, 195172, 175008, 0.0465116, 0.103314
72, 87, 4, 197954, 177790, 0.045977, 0.101862
72, 88, 4, 198386, 178222, 0.0454545, 0.10164
73, 89, 4, 199376, 179212, 0.0449438, 0.101136
73, 90, 4, 199847, 179683, 0.0444444, 0.100897
74, 91, 4, 200318, 180154, 0.043956, 0.10066
75, 92, 4, 200824, 180660, 0.0434783, 0.100406
76, 93, 4, 202113, 181949, 0.0430108, 0.099766
77, 94, 4, 203200, 183036, 0.0425532, 0.0992323
78, 95, 4, 204287, 184123, 0.0421053, 0.0987043
79, 96, 4, 205204, 185040, 0.0416667, 0.0982632
80, 97, 4, 205641, 185477, 0.0412371, 0.0980544
81, 98, 4, 206254, 186090, 0.0408163, 0.0977629
82, 99, 4, 206754, 186590, 0.040404, 0.0975265
83, 100, 4, 207114, 186950, 0.04, 0.097357
84, 101, 4, 207808, 187644, 0.039604, 0.0970319
85, 102, 4, 208299, 188135, 0.0392157, 0.0968032
86, 103, 4, 211311, 191147, 0.038835, 0.0954233
87, 104, 4, 213147, 192983, 0.0384615, 0.0946014
88, 105, 4, 217407, 197243, 0.0380952, 0.0927477
88, 106, 4, 218156, 197992, 0.0377358, 0.0924293
89, 107, 4, 218609, 198445, 0.0373832, 0.0922377
89, 108, 4, 219105, 198941, 0.037037, 0.0920289
90, 109, 4, 219601, 199437, 0.0366972, 0.0918211
91, 110, 4, 219723, 199559, 0.0363636, 0.0917701
92, 111, 4, 219845, 199681, 0.036036, 0.0917192
93, 112, 4, 220017, 199853, 0.0357143, 0.0916475
93, 113, 4, 220121, 199957, 0.0353982, 0.0916042
94, 114, 4, 220182, 200018, 0.0350877, 0.0915788
95, 115, 4, 220311, 200147, 0.0347826, 0.0915252
96, 116, 4, 223329, 203165, 0.0344828, 0.0902883
97, 117, 4, 223789, 203625, 0.034188, 0.0901027
98, 118, 4, 224335, 204171, 0.0338983, 0.0898834
99, 119, 4, 224743, 204579, 0.0336134, 0.0897203
100, 120, 4, 225657, 205493, 0.0333333, 0.0893569
101, 121, 4, 226441, 206277, 0.0330578, 0.0890475
102, 122, 4, 226795, 206631, 0.0327869, 0.0889085
103, 123, 4, 227302, 207138, 0.0325203, 0.0887102
104, 124, 4, 228989, 208825, 0.0322581, 0.0880566
105, 125, 4, 230618, 210454, 0.032, 0.0874346
106, 126, 4, 231942, 211778, 0.031746, 0.0869355
107, 127, 4, 235230, 215066, 0.0314961, 0.0857204
108, 128, 4, 237367, 217203, 0.03125, 0.0849486
109, 129, 4, 239127, 218963, 0.0310078, 0.0843234
110, 130, 4, 239651, 219487, 0.0307692, 0.084139
111, 131, 4, 240048, 219884, 0.0305344, 0.0839999
112, 132, 4, 240464, 220300, 0.030303, 0.0838545
113, 133, 4, 245171, 225007, 0.0300752, 0.0822446
114, 134, 4, 247219, 227055, 0.0298507, 0.0815633
115, 135, 4, 248200, 228036, 0.0296296, 0.0812409
115, 136, 4, 249178, 229014, 0.0294118, 0.0809221
116, 137, 4, 250763, 230599, 0.0291971, 0.0804106
117, 138, 4, 252310, 232146, 0.0289855, 0.0799176
118, 139, 4, 252965, 232801, 0.028777, 0.0797106
119, 140, 4, 253429, 233265, 0.0285714, 0.0795647
120, 141, 4, 254876, 234712, 0.0283688, 0.079113
121, 142, 4, 256209, 236045, 0.028169, 0.0787014
122, 143, 4, 257028, 236864, 0.027972, 0.0784506
123, 144, 4, 257777, 237613, 0.0277778, 0.0782226
124, 145, 4, 258526, 238362, 0.0275862, 0.077996
125, 146, 4, 262072, 241908, 0.0273973, 0.0769407
126, 147, 4, 262556, 242392, 0.0272109, 0.0767989
127, 148, 4, 263009, 242845, 0.027027, 0.0766666
128, 149, 4, 263462, 243298, 0.0268456, 0.0765348
129, 150, 4, 263969, 243805, 0.0266667, 0.0763878
130, 151, 4, 264610, 244446, 0.0264901, 0.0762027
131, 152, 4, 265063, 244899, 0.0263158, 0.0760725
132, 153, 4, 265516, 245352, 0.0261438, 0.0759427
133, 154, 4, 265576, 245412, 0.025974, 0.0759255
134, 155, 4, 265610, 245446, 0.0258065, 0.0759158
135, 156, 4, 265642, 245478, 0.025641, 0.0759067
136, 157, 4, 265695, 245531, 0.0254777, 0.0758915
137, 158, 4, 265746, 245582, 0.0253165, 0.075877
138, 159, 4, 265776, 245612, 0.0251572, 0.0758684
138, 160, 4, 265807, 245643, 0.025, 0.0758596
139, 161, 4, 265837, 245673, 0.0248447, 0.075851
140, 162, 4, 266640, 246476, 0.0246914, 0.0756226
141, 163, 4, 267351, 247187, 0.0245399, 0.0754215
142, 164, 4, 269530, 249366, 0.0243902, 0.0748117
143, 165, 4, 270326, 250162, 0.0242424, 0.0745914
144, 166, 4, 270721, 250557, 0.0240964, 0.0744826
145, 167, 4, 271256, 251092, 0.0239521, 0.0743357
146, 168, 4, 272164, 252000, 0.0238095, 0.0740877
147, 169, 4, 278529, 258365, 0.0236686, 0.0723946
147, 170, 4, 284855, 264691, 0.0235294, 0.0707869
147, 171, 5, 290701, 264751, 0.0292398, 0.089267
148, 172, 5, 293473, 267523, 0.0290698, 0.0884238
148, 173, 5, 294065, 268115, 0.0289017, 0.0882458
149, 174, 5, 294831, 268881, 0.0287356, 0.0880165
150, 175, 5, 295745, 269795, 0.0285714, 0.0877445
151, 176, 5, 296399, 270449, 0.0284091, 0.0875509
152, 177, 5, 297215, 271265, 0.0282486, 0.0873105
153, 178, 5, 297715, 271765, 0.0280899, 0.0871639
153, 179, 5, 298032, 272082, 0.027933, 0.0870712
153, 180, 6, 298340, 272142, 0.0333333, 0.0878126
153, 181, 7, 298665, 272202, 0.038674, 0.0886043
154, 182, 7, 299404, 272941, 0.0384615, 0.0883856
155, 183, 7, 300217, 273754, 0.0382514, 0.0881462
156, 184, 7, 305815, 279352, 0.0380435, 0.0865327
156, 185, 7, 306604, 280141, 0.0378378, 0.08631
156, 186, 8, 307399, 280201, 0.0430108, 0.0884778
157, 187, 8, 307749, 280551, 0.0427807, 0.0883772
158, 188, 8, 310704, 283506, 0.0425532, 0.0875367
159, 189, 8, 311256, 284058, 0.042328, 0.0873814
160, 190, 8, 311732, 284534, 0.0421053, 0.087248
160, 191, 8, 312113, 284915, 0.0418848, 0.0871415
161, 192, 8, 313687, 286489, 0.0416667, 0.0867043
161, 193, 8, 314210, 287012, 0.0414508, 0.0865599
162, 194, 8, 315327, 288129, 0.0412371, 0.0862533
163, 195, 8, 316251, 289053, 0.0410256, 0.0860013
164, 196, 8, 316979, 289781, 0.0408163, 0.0858038
165, 197, 8, 317789, 290591, 0.0406091, 0.0855851
166, 198, 8, 318569, 291371, 0.040404, 0.0853755
167, 199, 8, 319324, 292126, 0.040201, 0.0851737
168, 200, 8, 319823, 292625, 0.04, 0.0850408
169, 201, 8, 320225, 293027, 0.039801, 0.084934
170, 202, 8, 320669, 293471, 0.039604, 0.0848164
170, 203, 8, 321059, 293861, 0.0394089, 0.0847134
171, 204, 8, 323550, 296352, 0.0392157, 0.0840612
172, 205, 8, 324270, 297072, 0.0390244, 0.0838745
173, 206, 8, 325996, 298798, 0.038835, 0.0834305
174, 207, 8, 326796, 299598, 0.0386473, 0.0832262
175, 208, 8, 327616, 300418, 0.0384615, 0.0830179
176, 209, 8, 328397, 301199, 0.0382775, 0.0828205
177, 210, 8, 329647, 302449, 0.0380952, 0.0825064
178, 211, 8, 330182, 302984, 0.0379147, 0.0823728
179, 212, 8, 331052, 303854, 0.0377358, 0.0821563
180, 213, 8, 331740, 304542, 0.0375587, 0.0819859
181, 214, 8, 334402, 307204, 0.0373832, 0.0813332
182, 215, 8, 335061, 307863, 0.0372093, 0.0811733
182, 216, 8, 335600, 308402, 0.037037, 0.0810429
183, 217, 8, 336139, 308941, 0.0368664, 0.080913
184, 218, 8, 337413, 310215, 0.0366972, 0.0806074
185, 219, 8, 337980, 310782, 0.0365297, 0.0804722
186, 220, 8, 339212, 312014, 0.0363636, 0.0801799
187, 221, 8, 340390, 313192, 0.0361991, 0.0799025
188, 222, 8, 341091, 313893, 0.036036, 0.0797383
189, 223, 8, 341887, 314689, 0.0358744, 0.0795526
190, 224, 8, 341914, 314716, 0.0357143, 0.0795463
191, 225, 8, 341927, 314729, 0.0355556, 0.0795433
192, 226, 8, 341940, 314742, 0.0353982, 0.0795403
193, 227, 8, 347237, 320039, 0.0352423, 0.0783269
194, 228, 8, 352807, 325609, 0.0350877, 0.0770903
195, 229, 8, 357329, 330131, 0.0349345, 0.0761147
196, 230, 8, 358233, 331035, 0.0347826, 0.0759227
196, 231, 8, 358755, 331557, 0.034632, 0.0758122
197, 232, 8, 359294, 332096, 0.0344828, 0.0756985
198, 233, 8, 360475, 333277, 0.0343348, 0.0754505
199, 234, 8, 362228, 335030, 0.034188, 0.0750853
200, 235, 8, 362655, 335457, 0.0340426, 0.0749969
200, 236, 8, 362808, 335610, 0.0338983, 0.0749653
200, 237, 9, 363055, 335670, 0.0379747, 0.0754293
201, 238, 9, 364009, 336624, 0.0378151, 0.0752317
202, 239, 9, 364148, 336763, 0.0376569, 0.0752029
203, 240, 9, 364873, 337488, 0.0375, 0.0750535
204, 241, 9, 364982, 337597, 0.0373444, 0.0750311
205, 242, 9, 365612, 338227, 0.0371901, 0.0749018
206, 243, 9, 366128, 338743, 0.037037, 0.0747962
207, 244, 9, 366305, 338920, 0.0368852, 0.0747601
208, 245, 9, 366465, 339080, 0.0367347, 0.0747275
209, 246, 9, 366678, 339293, 0.0365854, 0.0746841
210, 247, 9, 369210, 341825, 0.0364372, 0.0741719
210, 248, 9, 369842, 342457, 0.0362903, 0.0740451
211, 249, 9, 370582, 343197, 0.0361446, 0.0738973
211, 250, 9, 371438, 344053, 0.036, 0.073727
212, 251, 9, 372097, 344712, 0.0358566, 0.0735964
212, 252, 9, 372584, 345199, 0.0357143, 0.0735002
212, 253, 10, 373253, 345259, 0.0395257, 0.0750001
212, 254, 11, 373756, 345319, 0.0433071, 0.0760844
212, 255, 12, 374273, 345379, 0.0470588, 0.0772003
212, 256, 13, 374844, 345439, 0.0507812, 0.078446
213, 257, 13, 375559, 346154, 0.0505837, 0.0782966
213, 258, 13, 376119, 346714, 0.0503876, 0.07818
214, 259, 13, 376731, 347326, 0.050193, 0.078053
215, 260, 13, 378327, 348922, 0.05, 0.0777238
215, 261, 13, 378991, 349586, 0.0498084, 0.0775876
216, 262, 13, 380782, 351377, 0.0496183, 0.0772227
217, 263, 13, 381486, 352081, 0.0494297, 0.0770802
218, 264, 13, 382079, 352674, 0.0492424, 0.0769605
219, 265, 13, 382779, 353374, 0.0490566, 0.0768198
220, 266, 13, 383169, 353764, 0.0488722, 0.0767416
220, 267, 13, 383536, 354131, 0.0486891, 0.0766682
221, 268, 13, 384008, 354603, 0.0485075, 0.0765739
222, 269, 13, 384511, 355106, 0.0483271, 0.0764738
223, 270, 13, 385488, 356083, 0.0481481, 0.0762799
224, 271, 13, 386413, 357008, 0.0479705, 0.0760973
225, 272, 13, 386790, 357385, 0.0477941, 0.0760232
226, 273, 13, 387679, 358274, 0.047619, 0.0758488
227, 274, 13, 388231, 358826, 0.0474453, 0.075741
228, 275, 13, 388617, 359212, 0.0472727, 0.0756658
229, 276, 13, 388976, 359571, 0.0471014, 0.0755959
230, 277, 13, 390026, 360621, 0.0469314, 0.0753924
231, 278, 13, 390924, 361519, 0.0467626, 0.0752192
232, 279, 13, 392001, 362596, 0.046595, 0.0750126
233, 280, 13, 392968, 363563, 0.0464286, 0.074828
234, 281, 13, 393497, 364092, 0.0462633, 0.0747274
234, 282, 13, 394018, 364613, 0.0460993, 0.0746286
235, 283, 13, 394462, 365057, 0.0459364, 0.0745446
236, 284, 13, 395364, 365959, 0.0457746, 0.0743745
237, 285, 13, 395814, 366409, 0.045614, 0.0742899
238, 286, 13, 396368, 366963, 0.0454545, 0.0741861
239, 287, 13, 396922, 367517, 0.0452962, 0.0740826
240, 288, 13, 399134, 369729, 0.0451389, 0.073672
241, 289, 13, 399460, 370055, 0.0449827, 0.0736119
241, 290, 13, 399632, 370227, 0.0448276, 0.0735802
242, 291, 13, 399800, 370395, 0.0446735, 0.0735493
243, 292, 13, 400009, 370604, 0.0445205, 0.0735108
244, 293, 13, 400125, 370720, 0.0443686, 0.0734895
244, 294, 13, 400184, 370779, 0.0442177, 0.0734787
245, 295, 13, 401087, 371682, 0.0440678, 0.0733133
246, 296, 13, 401615, 372210, 0.0439189, 0.0732169
247, 297, 13, 401841, 372436, 0.043771, 0.0731757
248, 298, 13, 402579, 373174, 0.0436242, 0.0730416
249, 299, 13, 403126, 373721, 0.0434783, 0.0729425
250, 300, 13, 403716, 374311, 0.0433333, 0.0728359
251, 301, 13, 404292, 374887, 0.0431894, 0.0727321
252, 302, 13, 404982, 375577, 0.0430464, 0.0726082
253, 303, 13, 405507, 376102, 0.0429043, 0.0725142
254, 304, 13, 406599, 377194, 0.0427632, 0.0723194
255, 305, 13, 407328, 377923, 0.0426229, 0.07219
256, 306, 13, 407776, 378371, 0.0424837, 0.0721107
257, 307, 13, 408394, 378989, 0.0423453, 0.0720015
258, 308, 13, 409479, 380074, 0.0422078, 0.0718108
259, 309, 13, 409978, 380573, 0.0420712, 0.0717234
259, 310, 13, 410107, 380702, 0.0419355, 0.0717008
259, 311, 14, 410242, 380762, 0.0450161, 0.07186
260, 312, 14, 414014, 384534, 0.0448718, 0.0712053
261, 313, 14, 416267, 386787, 0.0447284, 0.0708199
262, 314, 14, 417416, 387936, 0.044586, 0.070625
262, 315, 14, 417635, 388155, 0.0444444, 0.070588
263, 316, 14, 418096, 388616, 0.0443038, 0.0705101
264, 317, 14, 418385, 388905, 0.044164, 0.0704614
264, 318, 14, 418626, 389146, 0.0440252, 0.0704209
264, 319, 15, 418878, 389206, 0.0470219, 0.0708369
264, 320, 16, 419136, 389266, 0.05, 0.0712657
265, 321, 16, 419196, 389326, 0.0498442, 0.0712555
266, 322, 16, 419781, 389911, 0.0496894, 0.0711562
266, 323, 16, 420235, 390365, 0.0495356, 0.0710793
266, 324, 17, 420728, 390425, 0.0524691, 0.0720252
266, 325, 18, 421218, 390485, 0.0553846, 0.0729622
267, 326, 18, 425325, 394592, 0.0552147, 0.0722577
268, 327, 18, 425468, 394735, 0.0550459, 0.0722334
269, 328, 18, 425535, 394802, 0.054878, 0.072222
270, 329, 18, 427608, 396875, 0.0547112, 0.0718719
271, 330, 18, 428387, 397654, 0.0545455, 0.0717412
272, 331, 18, 429422, 398689, 0.0543807, 0.0715683
273, 332, 18, 429937, 399204, 0.0542169, 0.0714826
274, 333, 18, 431983, 401250, 0.0540541, 0.071144
275, 334, 18, 435298, 404565, 0.0538922, 0.0706022
275, 335, 18, 437538, 406805, 0.0537313, 0.0702408
276, 336, 18, 439778, 409045, 0.0535714, 0.069883
277, 337, 18, 440308, 409575, 0.0534125, 0.0697989
277, 338, 18, 440560, 409827, 0.0532544, 0.0697589
278, 339, 18, 444658, 413925, 0.0530973, 0.069116
279, 340, 18, 447910, 417177, 0.0529412, 0.0686142
279, 341, 18, 451119, 420386, 0.0527859, 0.0681261
280, 342, 18, 454332, 423599, 0.0526316, 0.0676444
281, 343, 18, 457590, 426857, 0.0524781, 0.0671627
281, 344, 18, 460843, 430110, 0.0523256, 0.0666887
281, 345, 19, 464070, 430170, 0.0550725, 0.0730493
282, 346, 19, 465074, 431174, 0.0549133, 0.0728916
282, 347, 19, 465525, 431625, 0.054755, 0.072821
283, 348, 19, 467086, 433186, 0.0545977, 0.0725776
284, 349, 19, 467528, 433628, 0.0544413, 0.072509
284, 350, 19, 467986, 434086, 0.0542857, 0.0724381
284, 351, 20, 468493, 434146, 0.0569801, 0.0733138
285, 352, 20, 469000, 434653, 0.0568182, 0.0732345
286, 353, 20, 469946, 435599, 0.0566572, 0.0730871
286, 354, 20, 470314, 435967, 0.0564972, 0.0730299
286, 355, 21, 470430, 436027, 0.0591549, 0.073131
286, 356, 22, 470560, 436087, 0.0617978, 0.0732595
286, 357, 23, 470667, 436147, 0.0644258, 0.0733427
286, 358, 24, 470800, 436207, 0.0670391, 0.0734771
286, 359, 25, 470913, 436267, 0.0696379, 0.073572
286, 360, 26, 471040, 436327, 0.0722222, 0.0736944
286, 361, 27, 471151, 436387, 0.0747922, 0.0737853
286, 362, 28, 471271, 436447, 0.0773481, 0.0738938
286, 363, 29, 471391, 436507, 0.0798898, 0.0740023
286, 364, 30, 471517, 436567, 0.0824176, 0.0741225
286, 365, 31, 471713, 436627, 0.0849315, 0.07438
286, 366, 32, 471827, 436687, 0.0874317, 0.0744765
286, 367, 33, 471934, 436747, 0.0899183, 0.0745592
287, 368, 33, 472028, 436841, 0.0896739, 0.0745443
288, 369, 33, 472100, 436913, 0.0894309, 0.0745329
288, 370, 33, 472170, 436983, 0.0891892, 0.0745219
288, 371, 34, 472361, 437043, 0.0916442, 0.0747691
288, 372, 35, 472424, 437103, 0.094086, 0.0747655
288, 373, 36, 472496, 437163, 0.0965147, 0.0747795
289, 374, 36, 474375, 439042, 0.0962567, 0.0744833
289, 375, 36, 474505, 439172, 0.096, 0.0744629
289, 376, 37, 474601, 439232, 0.0984043, 0.0745237
289, 377, 38, 474706, 439292, 0.100796, 0.074602
289, 378, 39, 474911, 439352, 0.103175, 0.0748751
289, 379, 40, 474997, 439412, 0.105541, 0.0749163
289, 380, 41, 475278, 439472, 0.107895, 0.075337
289, 381, 42, 475391, 439532, 0.110236, 0.0754305
290, 382, 42, 475445, 439586, 0.109948, 0.075422
290, 383, 42, 475521, 439662, 0.109661, 0.0754099
291, 384, 42, 475621, 439762, 0.109375, 0.0753941
291, 385, 42, 475683, 439824, 0.109091, 0.0753842
291, 386, 43, 475735, 439884, 0.111399, 0.0753592
291, 387, 44, 475789, 439944, 0.113695, 0.075338
291, 388, 45, 475883, 440004, 0.115979, 0.0753946
291, 389, 46, 475932, 440064, 0.118252, 0.0753637
291, 390, 47, 475985, 440124, 0.120513, 0.0753406
291, 391, 48, 476040, 440184, 0.122762, 0.0753214
291, 392, 49, 476088, 440244, 0.125, 0.0752886
291, 393, 50, 476139, 440304, 0.127226, 0.0752616
291, 394, 51, 476197, 440364, 0.129442, 0.0752483
291, 395, 52, 476268, 440424, 0.131646, 0.0752601
291, 396, 53, 476327, 440484, 0.133838, 0.0752487
291, 397, 54, 476391, 440544, 0.13602, 0.075247
291, 398, 55, 476461, 440604, 0.138191, 0.0752569
291, 399, 56, 476521, 440664, 0.140351, 0.0752475
291, 400, 57, 476595, 440724, 0.1425, 0.0752652
292, 401, 57, 476653, 440782, 0.142145, 0.075256
292, 402, 57, 476701, 440830, 0.141791, 0.0752484
292, 403, 58, 478295, 440890, 0.143921, 0.0782049
292, 404, 59, 478349, 440950, 0.14604, 0.0781835
292, 405, 60, 478431, 441010, 0.148148, 0.0782161
293, 406, 60, 478503, 441082, 0.147783, 0.0782043
293, 407, 60, 478715, 441294, 0.14742, 0.0781697
293, 408, 61, 478766, 441354, 0.14951, 0.0781426
293, 409, 62, 478816, 441414, 0.151589, 0.0781135
293, 410, 63, 478910, 441474, 0.153659, 0.0781692
293, 411, 64, 478992, 441534, 0.155718, 0.0782017
293, 412, 65, 479057, 441594, 0.157767, 0.0782015
293, 413, 66, 479199, 441654, 0.159806, 0.0783495
293, 414, 67, 479261, 441714, 0.161836, 0.0783435
293, 415, 68, 479318, 441774, 0.163855, 0.078328
