# Node, all count, hit count, without preloading, with preloading
2, 2, 0, 307, 307
3, 3, 0, 529, 529
4, 4, 0, 669, 669
5, 5, 0, 1007, 1007
5, 6, 0, 1071, 1071
6, 7, 0, 2073, 2073
7, 8, 0, 2474, 2474
8, 9, 0, 3099, 3099
9, 10, 0, 3407, 3407
10, 11, 0, 3715, 3715
11, 12, 0, 4128, 4128
12, 13, 0, 4313, 4313
13, 14, 0, 4513, 4513
14, 15, 0, 4958, 4958
15, 16, 0, 7307, 7307
16, 17, 0, 8193, 8193
16, 18, 0, 9080, 9080
16, 19, 0, 9968, 9968
16, 20, 0, 11456, 11456
16, 21, 0, 12338, 12338
17, 22, 0, 13213, 13213
17, 23, 0, 14090, 14090
18, 24, 0, 18832, 18832
18, 25, 0, 20833, 20833
18, 26, 0, 21219, 21219
18, 27, 0, 25322, 25322
18, 28, 0, 25695, 25695
19, 29, 0, 26084, 26084
20, 30, 0, 26472, 26472
21, 31, 0, 26849, 26849
22, 32, 0, 27655, 27655
23, 33, 0, 28617, 28617
24, 34, 0, 29579, 29579
25, 35, 0, 31897, 31897
26, 36, 0, 33244, 33244
27, 37, 0, 34492, 34492
27, 38, 0, 35509, 35509
27, 39, 0, 36502, 36502
27, 40, 0, 36560, 36560
28, 41, 0, 36687, 36687
29, 42, 0, 36992, 36992
30, 43, 0, 37059, 37059
31, 44, 0, 37262, 37262
32, 45, 0, 37439, 37439
33, 46, 0, 37951, 37951
34, 47, 0, 38986, 38986
34, 48, 0, 39957, 39957
34, 49, 0, 41039, 41039
34, 50, 0, 42110, 42110
35, 51, 0, 43231, 43231
35, 52, 0, 44292, 44292
36, 53, 0, 45529, 45529
36, 54, 0, 46587, 46587
36, 55, 0, 47693, 47693
37, 56, 0, 50879, 50879
37, 57, 0, 50975, 50975
38, 58, 0, 51445, 51445
39, 59, 0, 51629, 51629
40, 60, 0, 51971, 51971
41, 61, 0, 52313, 52313
42, 62, 0, 53250, 53250
42, 63, 0, 54109, 54109
42, 64, 0, 55393, 55393
42, 65, 0, 56227, 56227
43, 66, 0, 57929, 57929
44, 67, 0, 59631, 59631
45, 68, 0, 59639, 59639
46, 69, 0, 61947, 61947
47, 70, 0, 65169, 65169
48, 71, 0, 66212, 66212
49, 72, 0, 70821, 70821
50, 73, 0, 73013, 73013
51, 74, 0, 76666, 76666
52, 75, 0, 78150, 78150
53, 76, 0, 78508, 78508
54, 77, 0, 79607, 79607
55, 78, 0, 80359, 80359
56, 79, 0, 81111, 81111
56, 80, 0, 81172, 81172
56, 81, 0, 81195, 81195
57, 82, 0, 81815, 81815
58, 83, 0, 82064, 82064
58, 84, 0, 82136, 82136
59, 85, 0, 82899, 82899
60, 86, 0, 84805, 84805
60, 87, 0, 85526, 85526
61, 88, 0, 86428, 86428
62, 89, 0, 87037, 87037
62, 90, 0, 87721, 87721
63, 91, 0, 89185, 89185
64, 92, 0, 94273, 94273
64, 93, 0, 94977, 94977
65, 94, 0, 97395, 97395
65, 95, 0, 98436, 98436
65, 96, 0, 99388, 99388
66, 97, 0, 100105, 100105
66, 98, 0, 100793, 100793
67, 99, 0, 101573, 101573
67, 100, 0, 101646, 101646
68, 101, 0, 102111, 102111
69, 102, 0, 102469, 102469
70, 103, 0, 102491, 102491
71, 104, 0, 102573, 102573
72, 105, 0, 102588, 102588
72, 106, 0, 102606, 102606
73, 107, 0, 105156, 105156
74, 108, 0, 105763, 105763
75, 109, 0, 105873, 105873
76, 110, 0, 105946, 105946
77, 111, 0, 106021, 106021
78, 112, 0, 106116, 106116
78, 113, 0, 106164, 106164
79, 114, 0, 106182, 106182
80, 115, 0, 106783, 106783
81, 116, 0, 106795, 106795
82, 117, 0, 106839, 106839
83, 118, 0, 106853, 106853
84, 119, 0, 106871, 106871
84, 120, 0, 107433, 107433
85, 121, 0, 107472, 107472
86, 122, 0, 107487, 107487
86, 123, 0, 107508, 107508
87, 124, 0, 107522, 107522
87, 125, 0, 107537, 107537
88, 126, 0, 107609, 107609
89, 127, 0, 107622, 107622
90, 128, 0, 107670, 107670
91, 129, 0, 107713, 107713
92, 130, 0, 107740, 107740
93, 131, 0, 109769, 109769
94, 132, 0, 109791, 109791
95, 133, 0, 110011, 110011
96, 134, 0, 110810, 110810
97, 135, 0, 111392, 111392
98, 136, 0, 111839, 111839
99, 137, 0, 111895, 111895
100, 138, 0, 114013, 114013
101, 139, 0, 114939, 114939
102, 140, 0, 115769, 115769
102, 141, 0, 116703, 116703
103, 142, 0, 117084, 117084
103, 143, 0, 117130, 117130
104, 144, 0, 117345, 117345
104, 145, 0, 117537, 117537
104, 146, 0, 117619, 117619
105, 147, 0, 117924, 117924
105, 148, 0, 117965, 117965
106, 149, 0, 118330, 118330
107, 150, 0, 118538, 118538
108, 151, 0, 119088, 119088
108, 152, 0, 119999, 119999
108, 153, 0, 120455, 120455
109, 154, 0, 120900, 120900
110, 155, 0, 120926, 120926
111, 156, 0, 120940, 120940
111, 157, 0, 120956, 120956
112, 158, 0, 121242, 121242
113, 159, 0, 122791, 122791
114, 160, 0, 122806, 122806
115, 161, 0, 123484, 123484
115, 162, 0, 123502, 123502
115, 163, 0, 124031, 124031
115, 164, 0, 124049, 124049
115, 165, 0, 124626, 124626
115, 166, 0, 124693, 124693
116, 167, 0, 124832, 124832
117, 168, 0, 126507, 126507
118, 169, 0, 128059, 128059
119, 170, 0, 128531, 128531
120, 171, 0, 129229, 129229
121, 172, 0, 129273, 129273
122, 173, 0, 129728, 129728
123, 174, 0, 132069, 132069
124, 175, 0, 133485, 133485
124, 176, 0, 133510, 133510
124, 177, 1, 134073, 133570
125, 178, 1, 134093, 133590
126, 179, 1, 134114, 133611
127, 180, 1, 134124, 133621
128, 181, 1, 134141, 133638
129, 182, 1, 138101, 137598
130, 183, 1, 142061, 141558
131, 184, 1, 145978, 145475
132, 185, 1, 149895, 149392
133, 186, 1, 149914, 149411
133, 187, 1, 149928, 149425
133, 188, 1, 150511, 150008
133, 189, 1, 150799, 150296
133, 190, 1, 150813, 150310
133, 191, 1, 150822, 150319
133, 192, 1, 151393, 150890
133, 193, 1, 151462, 150959
133, 194, 1, 151509, 151006
133, 195, 1, 151565, 151062
133, 196, 1, 151606, 151103
133, 197, 1, 151652, 151149
133, 198, 1, 151693, 151190
133, 199, 1, 151716, 151213
133, 200, 1, 152275, 151772
133, 201, 1, 152547, 152044
133, 202, 1, 152560, 152057
133, 203, 1, 153143, 152640
133, 204, 1, 153723, 153220
133, 205, 1, 153741, 153238
133, 206, 1, 154268, 153765
133, 207, 1, 154520, 154017
133, 208, 1, 154528, 154025
133, 209, 1, 155076, 154573
134, 210, 1, 156297, 155794
135, 211, 1, 157403, 156900
135, 212, 1, 157578, 157075
135, 213, 1, 157612, 157109
135, 214, 1, 158239, 157736
136, 215, 1, 158264, 157761
137, 216, 1, 158978, 158475
138, 217, 1, 159554, 159051
139, 218, 1, 159679, 159176
140, 219, 1, 160695, 160192
141, 220, 1, 160836, 160333
141, 221, 1, 160859, 160356
142, 222, 1, 161151, 160648
143, 223, 1, 161398, 160895
144, 224, 1, 161640, 161137
145, 225, 1, 161865, 161362
145, 226, 1, 161916, 161413
