# Node, all count, hit count, without preloading, with preloading
2, 2, 0, 38, 38
3, 3, 0, 660, 660
4, 4, 0, 685, 685
5, 5, 0, 729, 729
5, 6, 0, 765, 765
5, 7, 0, 831, 831
6, 8, 0, 868, 868
7, 9, 0, 1002, 1002
8, 10, 0, 1056, 1056
9, 11, 0, 1093, 1093
9, 12, 0, 1127, 1127
10, 13, 0, 1164, 1164
10, 14, 0, 1185, 1185
10, 15, 0, 1210, 1210
10, 16, 0, 1237, 1237
11, 17, 0, 1274, 1274
11, 18, 0, 1297, 1297
11, 19, 0, 1347, 1347
11, 20, 0, 1370, 1370
12, 21, 0, 1393, 1393
12, 22, 0, 1424, 1424
12, 23, 0, 1448, 1448
12, 24, 0, 1475, 1475
13, 25, 0, 1504, 1504
13, 26, 0, 1527, 1527
13, 27, 0, 1549, 1549
13, 28, 0, 1571, 1571
13, 29, 0, 1601, 1601
13, 30, 0, 1617, 1617
13, 31, 0, 1651, 1651
14, 32, 0, 1684, 1684
14, 33, 0, 1707, 1707
14, 34, 0, 1732, 1732
14, 35, 0, 1754, 1754
14, 36, 0, 1780, 1780
14, 37, 0, 1803, 1803
14, 38, 0, 1853, 1853
14, 39, 0, 1895, 1895
14, 40, 0, 1937, 1937
15, 41, 0, 1965, 1965
16, 42, 0, 5361, 5361
17, 43, 0, 8688, 8688
18, 44, 0, 10770, 10770
18, 45, 0, 12926, 12926
19, 46, 0, 15411, 15411
19, 47, 0, 17351, 17351
20, 48, 0, 20240, 20240
20, 49, 0, 22254, 22254
21, 50, 0, 24547, 24547
21, 51, 0, 26614, 26614
22, 52, 0, 28498, 28498
22, 53, 0, 30755, 30755
23, 54, 0, 33207, 33207
23, 55, 0, 35104, 35104
24, 56, 0, 36905, 36905
25, 57, 0, 39191, 39191
25, 58, 0, 40961, 40961
25, 59, 0, 42938, 42938
25, 60, 0, 44779, 44779
26, 61, 0, 46946, 46946
26, 62, 0, 48705, 48705
27, 63, 0, 50768, 50768
27, 64, 0, 53824, 53824
27, 65, 0, 54913, 54913
27, 66, 0, 56719, 56719
28, 67, 0, 59232, 59232
28, 68, 0, 60959, 60959
29, 69, 0, 63538, 63538
29, 70, 0, 65429, 65429
30, 71, 0, 68717, 68717
30, 72, 0, 70592, 70592
30, 73, 1, 72775, 70652
30, 74, 1, 74555, 72432
31, 75, 1, 76519, 74396
31, 76, 1, 78297, 76174
32, 77, 1, 80138, 78015
33, 78, 1, 83008, 80885
33, 79, 1, 84753, 82630
33, 80, 1, 86926, 84803
33, 81, 1, 88763, 86640
33, 82, 2, 90631, 86700
34, 83, 2, 92557, 88626
34, 84, 2, 94552, 90621
34, 85, 2, 95736, 91805
35, 86, 2, 96970, 93039
36, 87, 2, 97003, 93072
37, 88, 2, 97022, 93091
38, 89, 2, 97241, 93310
38, 90, 2, 97264, 93333
39, 91, 2, 97446, 93515
39, 92, 2, 97470, 93539
39, 93, 2, 98653, 94722
40, 94, 2, 100014, 96083
41, 95, 2, 100896, 96965
42, 96, 2, 101540, 97609
43, 97, 2, 102169, 98238
44, 98, 2, 102494, 98563
44, 99, 2, 102531, 98600
45, 100, 2, 102565, 98634
46, 101, 2, 103142, 99211
47, 102, 2, 103198, 99267
48, 103, 2, 105705, 101774
49, 104, 2, 106702, 102771
